insee_code,name,postal_code,lat,lon,population
03002,Agonges,03210,46.623800,3.149000,300
34005,Agonès,34190,43.899000,3.724100,319
65004,Agos-Vidalos,65400,43.038300,-0.073200,391
16003,Agris,16110,45.775300,0.330500,891
17002,Agudelle,17500,45.383600,-0.469400,131
12002,Aguessac,12520,44.158400,3.066900,929
02005,Aguilcourt,02190,49.395300,3.966300,417
81001,Aguts,81470,43.533300,1.927100,238
14003,Agy,14400,49.237200,-0.779300,320
64008,Ahaxe-Alciette-Bascassan,64220,43.141000,-1.157100,261
64009,Ahetze,64210,43.405900,-1.565800,2104
53001,Ahuillé,53940,48.022100,-0.880300,1852
23001,Ahun,23150,46.091700,2.024100,1394
21003,Ahuy,21121,47.369600,5.017900,1718
88002,Ahéville,88500,48.283600,6.200700,67
59003,Aibes,59149,50.232800,4.091500,350
25008,Aibre,25750,47.553200,6.699500,434
79003,Aiffres,79230,46.283100,-0.414700,5419
30001,Aigaliers,30700,44.070300,4.309200,540
08003,Aiglemont,08090,49.790900,4.767900,1692
39006,Aiglepierre,39110,46.955000,5.809600,412
27004,Aigleville,27120,49.005300,1.424000,414
04001,Aiglun,04510,44.063200,6.141300,1399
06001,Aiglun,06910,43.855200,6.934800,104
32001,Aignan,32290,43.699000,0.091000,720
21004,Aignay-le-Duc,21510,47.673600,4.748200,257
34006,Aigne,34210,43.324100,2.792200,301
31002,Aignes,31550,43.333400,1.586600,242
80008,Aigneville,80210,50.035600,1.610900,904
51003,Aigny,51150,49.043400,4.224300,289
72001,Aigné,72650,48.065900,0.105600,1695
79185,Aigondigné,79370,46.284400,-0.272300,4710
16005,Aigre,16140,45.899600,0.025200,1594
31003,Aigrefeuille,31280,43.568400,1.584500,1369
17003,Aigrefeuille-d'Aunis,17290,46.119900,-0.949100,4677
44002,Aigrefeuille-sur-Maine,44140,47.073500,-1.412100,4156
30002,Aigremont,30350,43.959400,4.115500,782
52002,Aigremont,52400,48.013600,5.729200,23
78007,Aigremont,78240,48.902700,2.012700,1075
89002,Aigremont,89800,47.717100,3.886600,69
73001,Aiguebelette-le-Lac,73610,45.544600,5.811100,255
81002,Aiguefonde,81200,43.489300,2.326400,2505
63001,Aigueperse,63260,46.014500,3.202400,2665
69002,Aigueperse,69790,46.282200,4.426800,235
