insee_code,name,postal_code,lat,lon
31094,Buzet-sur-Tarn,31660,43.772100,1.609900
49027,Bégrolles-en-Mauges,49122,47.133100,-0.931100
46042,Cahors,46000,44.456500,1.439000
02139,Caillouël-Crépigny,02300,49.617400,3.122600
83028,Callas,83830,43.568700,6.573500
60122,Campeaux,60220,49.614000,1.755700
65127,Capvern,65130,43.105000,0.328200
33097,Carcans,33121,45.079400,-1.040400
2A071,Casalabriva,20140,41.758300,8.917400
15029,Cassaniouze,15340,44.676100,2.382200
33105,Castelviel,33540,44.667600,-0.152500
31122,Casties-Labrande,31430,43.326900,0.993100
2B081,Castiglione,20218,42.408400,9.112900
66045,Catllar,66500,42.640700,2.418600
11081,Caunes-Minervois,11160,43.341900,2.517900
34062,Caussiniojouls,34600,43.546100,3.158100
82038,Caylus,82160,44.247500,1.767000
32098,Cazaux-Savès,32130,43.544700,0.979000
05026,Ceillac,05600,44.654400,6.807200
68063,Cernay,68700,47.793200,7.175600
77066,Cerneux,77320,48.711000,3.343300
38064,Cessieu,38110,45.569400,5.374600
89068,Chablis,89800,47.806000,3.793200
01074,Chalamont,01320,46.014900,5.173500
77076,Chalmaison,77650,48.490400,3.256800
69037,Chambost-Allières,69870,46.017000,4.509000
39092,Chambéria,39270,46.469800,5.571200
63080,Champeix,63320,45.585800,3.128100
01081,Champfromier,01410,46.226400,5.821600
91136,Champlan,91160,48.708300,2.277500
71082,Champlecy,71120,46.463500,4.223400
52083,Champsevraine,52500,47.771800,5.528500
58056,Champvoux,58400,47.145900,3.071800
48039,Chanac,48230,44.454900,3.346200
01082,Chanay,01420,46.002400,5.767400
41036,Chaon,41600,47.609900,2.166800
89083,Charbuy,89113,47.828600,3.460900
89086,Charny Orée de Puisaye,89120,47.878600,3.107300
23054,Charron,23700,46.043200,2.562900
17092,Chartuzac,17130,45.337400,-0.415400
38095,Chatte,38160,45.141900,5.281500
04055,Chaudon-Norante,04330,43.988400,6.320800
44005,Chaumes-en-Retz,44320,47.156100,-1.915300
86073,Cherves,86170,46.699200,0.024500
45093,Chevilly,45520,48.031800,1.891800
42062,Chevrières,42140,45.591100,4.408700
51152,Chigny-les-Roses,51500,49.151400,4.060800
16099,Chillac,16480,45.357300,-0.084500
45095,Chilleurs-aux-Bois,45170,48.062100,2.141200
37073,Chisseaux,37150,47.350100,1.099800
36052,Chouday,36100,46.920300,2.058300
